region_id,sa1_no,residents,Median_age,Median_total_personal_income_weekly,Birthplace_Australia_Persons,Birthplace_Australia_Persons_percentage,Language_spoken_at_home_English_only_Persons,English_Percentage,Australian_citizen_Persons,AU_percentage,Age_of_Persons_attending_an_educational_institution_25_years_and_over_Persons,Highest_year_of_school_completed_Year_12_or_equivalent_Persons,Median_rent_weekly
2100113.755400816,20904122212.0,697.478606535782,26.318362450121597,614.6647934726508,661.4215505354459,0.8511660615437996,723.3004349613575,0.8746347563277181,818.221546920035,0.9323789276598916,14.0,247.78277043167682,310.1560878036098
2100149.3811389874,20101100117.0,322.674966581127,50.31453608306541,669.251999428824,79.06134460250104,0.8209193292475242,311.4364812614059,0.7341465806691514,62.88805584860981,0.825136775112276,7.0,53.17786321669815,255.0446401464604
2100149.684718094,21702143248.0,551.2894242202077,31.0,530.6684332384076,282.0195829970318,0.88,263.17346451332355,0.8152255528823215,499.81926003023966,0.8587465414750446,25.0,94.54424038863246,200.0
2100157.7000033264,20903121512.0,819.1064488743178,32.0,608.0393127907602,732.5372726142441,0.8130765644717405,636.4402213840715,0.8658281839448705,860.3203460198321,0.9357250503927524,18.247327595807718,202.23095279884686,272.8397294947195
2100161.026070747,20302103872.0,313.52660260738105,31.0,486.00905115100545,453.52148803639625,0.7,450.8641936588565,0.9383978741218122,414.5903657626433,0.9112470642694347,13.0,26.34009847862939,230.0
2100173.673776037,20302104519.0,496.06883895040244,46.22214884395737,478.9091315733861,427.5175228854712,0.84,539.0202182167025,0.9620268176817927,350.3058575557181,0.9573731609602302,11.0,125.16864562794655,292.70372428897423
2100192.104978626,21101125222.0,344.7842413741768,33.0,575.4886252779747,344.67861226175137,0.85,309.6901922319167,0.9110403662821088,254.90930364005953,0.9154050767486825,14.0,160.91744790264713,250.0
2100198.6832960187,20303105004.0,493.15681073797793,38.0,617.9394948262699,473.9355866527562,0.8906169589628206,350.4603145941755,0.9661826768370996,306.27001768075456,0.9204332374633355,17.794707533910895,117.76616396521257,230.60101951269402
2100201.1500411425,20303105005.0,469.5548416546316,34.0,548.6721778871635,576.1627131234992,0.89,412.08152283103703,0.8722945144527581,468.10165173585807,0.9401466711728326,17.0,117.03788985497846,210.0
2100211.187961322,20101100602.0,340.6647121318049,33.0,603.3461481871154,311.73970156552514,0.9,320.42906934308553,0.9076862862058468,327.9452519824364,0.8657278082931411,10.0,116.0,270.0
2100219.401216971,20201102001.0,469.35841697679245,30.0,437.12319091747423,516.0291592000409,0.75,230.63334830817436,0.9233118346993685,454.9771893694728,0.8821544496703524,11.0,7.665134392559047,227.34696038584917
2100228.1266984437,21005125019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100241.614335278,20201102305.0,432.616689109332,40.0,665.355310937771,509.5509722160194,0.9,564.9952137179446,0.9234379912034291,413.2343955886313,0.9459877024929586,8.222620088129268,146.91854731699746,256.9518661462221
2100245.72146613,21702142603.0,543.3631896099724,41.0,478.06701983738276,349.8898197491392,0.87,367.95036680896624,0.9650094487899918,456.0,0.9548975708012571,10.0,114.08865770218767,210.37208942404433
2100255.068771129,20303104810.0,16.313900697312867,34.0,419.6094965122855,384.84466145471634,0.84,547.7187674961039,0.8852678014556439,356.83261700736966,0.9288505078051246,17.0,108.75418546072788,200.0
2100256.4080185397,21502139506.0,510.0859755673286,35.0,587.2990332704052,453.4484970608813,0.84,530.0559147227672,0.8774879005500507,359.4320316848222,0.9393035005057927,17.160242609939854,179.0,260.0
2100258.6037765103,20101100224.0,540.611688279157,35.0,589.2060115373141,357.4003290848656,0.87,390.71613611966364,0.9402116206956304,333.2185537120212,0.9248997787200239,17.0,109.09904800914427,220.0
2100275.378828252,21502139771.0,486.5597954229732,43.0,483.64028679466537,371.3935713403271,0.89,487.29799858211953,0.9555058896434568,524.6307360078804,0.9327411539236038,10.0,144.76999412562614,190.0
2100293.706230738,20101100330.0,698.8627192098429,26.977186517145014,607.0122019271055,711.3601154200261,0.89,744.8544384610836,0.8755306598851593,882.8622054143607,0.8539696787711459,29.099702926629973,380.0255113227262,348.919845418057
2100295.7019231203,20201102225.0,409.12479155681376,35.0,329.7519364836666,363.77373938362996,0.81,430.0,0.9026689048183241,398.5909193805862,0.9405525731148954,22.0,121.68015373113977,195.0
2100310.5588830337,20302104123.0,466.5412512698209,39.0,447.0,330.81309459795045,0.8,343.29921853367944,0.8765572910771471,245.36013455934486,0.8936917954358042,10.0,96.989924216874,146.88643585596023
2100313.672708112,21603141603.0,225.8574632660839,34.0,444.07043121445605,242.14210825684228,0.73,426.90378086956053,0.7980602474430294,350.45455514379074,0.8057006831374329,12.0,73.8829344361576,269.4958016595102
2100317.17726868,20201102037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100324.283157158,20401106002.0,461.76408115690884,41.0,368.05688473863063,323.90297585805234,0.82,357.3884760109557,0.9353555100633744,274.5125427272338,0.8746273571707985,10.0,46.89776677811402,180.0
2100326.214320914,20201102406.0,672.4886909101995,34.0,697.5960755524011,668.6186276320104,0.87,746.5362327085971,0.8736145257864054,681.706437454364,0.8618770679695844,18.75291379163484,168.99268382434042,282.086964819534
2100335.458080401,21105128647.0,254.5340879038975,36.0,587.3239210884055,168.801941328133,0.8,386.6863420488428,0.8682034091961809,197.0,0.889108379653405,6.0,136.51059893089518,300.0
2100337.565313859,21203130806.0,250.5691808283761,36.0,727.7314118864082,303.6654085526686,0.88,277.65638314486597,0.859235326987593,262.0,0.9363098897832769,7.0,103.10314910734196,134.93615873680434
2100349.787358909,20403107001.0,303.69103555280856,31.0,508.0,365.5623105243536,0.74,418.99839294321407,0.8559653718272953,500.7048085043209,0.8710858461907465,12.0,102.0,161.29741552191976
2100357.0065918844,21702142521.0,506.00372947214447,45.0,500.0,292.3593970874598,0.8,290.8996651912676,0.7782260126239713,319.04757042601705,0.8792592644815801,15.318116583889227,144.00338495378622,190.0
2100358.0668110666,21005124415.0,492.0,31.0,498.3554997263133,495.1784605274016,0.75,641.7484309091686,0.9318201340801175,354.70879882859964,0.9137408869256756,13.0,74.0,0.0
2100359.8591304715,21203130204.0,393.7443354851482,36.0,566.0,204.18046147564664,0.71,236.0,0.70941224486475,376.31691319819345,0.9110414796274758,6.0,148.04390096449944,148.27429044404894
2100361.9203968314,20903120953.0,324.0648211999794,41.0,572.2662944185395,248.49740204537056,0.8090310013500523,285.81730444877843,0.9770134114325202,288.65588346915223,0.9250874214604382,9.0,87.4150796842147,177.71533982770444
